Math_Score,Reading_Score,Writing_Score,placementscore,Club_Join_Date .,offer
76,55,80,92,2021,3
67,91,72,40,2021,1
65,77,65,92,2021,3
69,85,67,84,,2
65,89,,100,2019,3
60,85,73,78,2019,2
78,79,80,79,2019,15
60,75,65,95,2021,3
75,76,73,98,2019,3
76,90,76,94,2019,3
62,94,71,100,2019,3
75,,67,95,2018,3
68,78,70,,2020,1
0,93,75,78,2019,2
64,77,73,99,2024,3
61,84,71,85,,3
40,82,62,95,2019,3
64,87,65,90,2019,3
69,90,80,87,2019,3
,87,60,76,2020,
73,81,64,96,2018,3
62,77,76,80,2021,2
68,91,78,200,2021,
69,91,68,82,2021,2
74,76,63,80,2019,2
76,79,62,91,2020,3
70,75,67,81,2019,2
110,94,77,99,2021,3
69,125,76,95,2021,3